table,expendcode,line,serieslabel,metricname,calculationtype,parent,lowest,level,category0,category1,category2,category3,category4,category5,category6,category7,seriescode,year,Expend,Price
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1959,1078,8.436
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1960,1175,8.583
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1961,1224,8.693
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1962,1351,8.766
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1963,1491,8.792
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1964,1601,8.892
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1965,1799,9.052
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1966,1949,9.21
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1967,2190,9.626
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1968,2466,10.123
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1969,2725,10.789
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1970,3035,11.602
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1971,3069,12.105
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1972,3872,12.394
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1973,4323,12.917
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1974,4709,13.808
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1975,5290,14.823
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1976,6186,15.958
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1977,6882,17.249
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1978,7866,19.384
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1979,9253,21.997
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1980,10255,24.905
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1981,11893,27.647
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1982,12682,30.591
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1983,13851,32.14
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1984,16140,34.547
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1985,18094,36.966
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1986,19237,38.517
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1987,22031,40.964
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1988,24206,43.367
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1989,25927,45.388
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1990,27619,47.415
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1991,29208,49.842
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1992,32173,51.291
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1993,32698,52.888
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1994,34902,54.393
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1995,36550,56.365
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1996,39897,58.884
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1997,44895,61.412
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1998,47217,63.94
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,1999,49804,66.024
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2000,54960,69.055
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2001,52094,69.979
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2002,53251,70.099
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2003,58127,71.157
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2004,66170,74.998
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2005,75525,77.901
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2006,84345,81.341
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2007,91902,85.427
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2008,96266,86.519
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2009,92668,82.746
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2010,98585,84.022
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2011,105557,86.488
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2012,113443,88.522
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2013,119061,89.929
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2014,128215,93.592
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2015,137649,96.446
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2016,141533,98.958
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2017,149680,100
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2018,156809,100.975
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2019,162013,103.827
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2020,88600,96.469
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2021,127421,103.987
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2022,176857,113.508
U20405,DACCRC,249,Accommodations (104),Current Dollars,Level,DFSARC,0,4,DPCERC,DSERRC,DHCERC,DFSARC,DACCRC,,,,DACCRG,2023,194725,118.286
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1959,1631,8.117
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1960,1707,8.587
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1961,1741,8.963
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1962,1806,9.298
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1963,1865,9.617
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1964,1959,10.218
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1965,2162,10.822
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1966,2343,11.423
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1967,2425,12.081
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1968,2779,13.057
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1969,2993,13.93
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1970,3219,14.939
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1971,3409,15.698
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1972,3431,16.158
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1973,3387,16.77
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1974,3868,17.875
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1975,4198,19.255
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1976,4297,20.048
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1977,4868,20.886
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1978,5720,22.155
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1979,6189,23.777
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1980,6390,25.003
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1981,6828,26.04
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1982,7654,27.463
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1983,8343,29.191
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1984,9300,30.951
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1985,9261,32.483
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1986,9967,33.71
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1987,10278,35.283
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1988,11392,36.9
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1989,12875,39.497
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1990,14402,41.893
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1991,15180,44.209
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1992,15739,44.694
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1993,17514,45.163
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1994,18628,46.701
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1995,20085,48.347
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1996,22443,50.743
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1997,23660,52.156
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1998,26060,53.261
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,1999,28127,56.444
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2000,30616,59.941
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2001,32310,62.821
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2002,35018,65.118
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2003,37919,67.638
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2004,40812,70.155
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2005,43701,73.185
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2006,48402,75.825
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2007,53573,79.066
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2008,55283,81.734
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2009,56470,83.245
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2010,58654,84.716
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2011,56980,85.205
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2012,58145,87.282
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2013,59856,88.733
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2014,63185,90.717
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2015,66688,94.335
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2016,70977,97.648
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2017,75330,100
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2018,80256,101.988
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2019,84374,103.939
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2020,34680,106.218
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2021,51323,106.968
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2022,77283,108.656
U20405,DADMRC,213,Admissions to specified spectator amusements,Current Dollars,Level,DRLSRC,0,5,DPCERC,DSERRC,DHCERC,DRCARC,DRLSRC,DADMRC,,,DADMRG,2023,94413,115.361
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1959,63,23.21
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1960,55,23.968
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1961,50,23.757
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1962,53,24.036
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1963,52,24.484
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1964,49,24.885
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1965,46,25.207
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1966,54,25.775
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1967,54,26.518
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1968,88,27.518
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1969,102,28.853
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1970,109,26.877
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1971,118,31.755
U20405,DAIRRC,58,Pleasure aircraft,Current Dollars,Level,DBARRC,1,6,DPCERC,DGDSRC,DDURRC,DREQRC,DWHLRC,DBARRC,DAIRRC,,DAIRRG,1972,127,33.509
